bit->http://dle.rae.es/?id=5cPrUzM
casa->http://dle.rae.es/?id=7lsKMtR
programar->http://dle.rae.es/?id=UJWsNlv
internet->http://dle.rae.es/?id=LvskgUG
saltar->http://dle.rae.es/?id=X6IXCPw
vaca->http://dle.rae.es/?id=bDxdsCL
panda->http://dle.rae.es/?id=ReX7NKC|ReXGWIc
informatico\a->http://dle.rae.es/?id=LY8zQy3
bombilla->http://dle.rae.es/?id=5pimsJw
puerta->http://dle.rae.es/?id=Uafmj9V

1. armario -http://dle.rae.es/?id=3ap5M5M
2. viaje -http://dle.rae.es/?id=bikxMiG|bim8Lvh
3. ordenador -http://dle.rae.es/?id=R9dHZWB
4. programación -http://dle.rae.es/?id=UJUdMN9
5. folio -http://dle.rae.es/?id=IAIFGoP
6. pirata -http://dle.rae.es/?id=T8ktrp2
7. pantalla -http://dle.rae.es/?id=RibGXgi
8. botella -http://dle.rae.es/?id=5yiuECX
9. elefante -http://dle.rae.es/?id=EW7tcfB
10. arroz -http://dle.rae.es/?id=3oGWULX

Armario - http://dle.rae.es/?id=3ap5M5M
Pala - http://dle.rae.es/?id=RUhVZ53
Mano - http://dle.rae.es/?id=OF9CzGo|OFAJXYy
Impresora - http://dle.rae.es/?id=L6zeI9R
Reloj - http://dle.rae.es/?id=VqzLaVZ
Camiseta - http://dle.rae.es/?id=6yMZCbz
Abrigo - http://dle.rae.es/?id=0B7pouj
Enchufe - http://dle.rae.es/?id=F5ob3O7
Juego - http://dle.rae.es/?id=MaS6XPk
Dinero - http://dle.rae.es/?id=Doas5g0
